x,y
0.07818181818181813,-0.3710249137351288
0.10727272727273274,0.18346321495593787
0.360000000000003,0.5201669461165757
0.6327272727272728,0.6692030119322224
0.7627272727272718,0.825760654260363
0.9545454545454568,0.7291859924399575
1.1209090909090875,0.3585764687212344
0.7679999999999971,0.09982657625922306
0.25900000000000034,-0.27988654992955675
-0.06499999999999773,-0.7622377075420264
-0.2080000000000055,-1.0724718760385517
-0.352999999999998,-0.2880462999642051
-0.2818181818181813,0.10664450849290652
-0.4827272727272671,0.03976603640671317
-0.6599999999999966,-0.13902678429786985
-1.077272727272728,-0.049312812590857624
-1.327272727272728,-0.7646798991818877
-1.5654545454545428,-0.5298974250478503
-1.6090909090909093,-0.6285732332829311
-1.6120000000000019,-0.5023127093325997
-1.5410000000000004,-0.07648646793992764
-1.0949999999999989,-1.0870118876530006
-0.8780000000000072,-0.6087886957852559
-0.722999999999999,-1.458493644735381
-0.6118181818181831,-1.5372847299003296
-0.20272727272726954,-0.7788554309358331
-0.0799999999999983,-0.5916343359187286
-0.21727272727272862,-0.27877681289750667
-0.27727272727272734,-0.23645819779102079
-0.4854545454545445,0.2461604402475985
-0.8790909090909125,1.1875027564145744
-0.8120000000000012,1.1765703378404149
-0.6609999999999978,1.073564205887934
-0.5749999999999993,0.4918128832196149
-0.23800000000000665,0.6932236748724833
0.1769999999999996,0.005361751372771683
0.38818181818181685,-0.10716103408740729
0.5872727272727332,-0.11956485717693366
0.6200000000000045,0.10566369551607191
0.7127272727272711,0.07954585169796291
0.9527272727272731,-0.13616891172520257
1.4245454545454557,-0.5188217964154136
1.720909090909089,-1.022962712758659
1.597999999999999,0.09340845530109462
1.389000000000003,0.5721664900976432
1.0150000000000006,1.0035052826592714
0.4919999999999938,0.7135714729622048
-0.10299999999999798,1.3310129817610656
-0.6118181818181831,0.9690603355556532
-0.9727272727272691,0.4431134448671121
-1.3299999999999983,0.04804995213608154
-1.5672727272727265,-0.19359321211134917
-1.6172727272727272,-0.058478736167250786
-1.6754545454545458,0.034473542527568374
-1.619090909090911,-0.1855631227117792
-1.4720000000000013,-0.39058541014043524
-0.9809999999999981,-0.6381267632207325
-0.8049999999999997,-0.07065579633452423
-0.6580000000000048,-0.08078537238071137
-0.4029999999999987,-0.47682311140479433
-0.3018181818181809,-0.6511260773866187
-0.322727272727267,-0.9941621360726389
-0.5899999999999963,-0.6203270903462725
-0.7672727272727258,-0.38796589260672787
-0.9772727272727266,0.1580137329890014
-1.215454545454545,-0.08677687313884744
-1.0790909090909118,0.015218014088222459
-0.8019999999999996,0.38228604778560527
-0.5410000000000004,0.5364031746919103
-0.49499999999999744,0.5753489407127261
-0.38800000000000523,-0.022567300235579624
-0.2029999999999994,-0.0551881673949977
0.0981818181818177,0.3914284041108437
0.3472727272727312,0.4684546506583709
0.5200000000000031,0.43265332911450893
0.41272727272727394,0.4490628463326193
0.3327272727272721,0.7150812378534068
0.12454545454545496,0.7766571139591734
-0.27909090909091105,0.8193614721406867
-0.46199999999999974,0.7599245016803663
-0.3810000000000002,0.3069391743852604
-0.134999999999998,0.6941916346742925
-0.13800000000000523,1.5849847602739469
-0.2829999999999977,1.5647200543110182
-0.3518181818181816,1.4388362052761625
-0.28272727272726783,1.2103917449363955
-0.3299999999999983,0.6036102900293467
-0.14727272727272833,0.24595469073133247
-0.12727272727272876,-0.025208386219233644
-0.17545454545454575,-0.3242721868415672
-0.1890909090909112,-0.10823725023694805
-0.4220000000000006,-0.6686930165162713
-0.4809999999999981,-0.7737289412756588
-0.16499999999999915,-0.5322744778896846
0.19199999999999307,-0.5685066778385096
0.43700000000000117,-0.7250644462286893
0.30818181818181856,-0.6029487362963445
0.03727272727273245,-0.5462015203416313
0.020000000000003126,-0.41582928955667886
0.3227272727272741,-0.3451511511423865
0.5127272727272718,-0.05181350638317821
0.7245454545454564,-0.08202169349885094
0.6909090909090878,-0.24694688727513245
0.5779999999999994,-0.6673505927631417
0.549000000000003,-0.9629190424443678
0.5850000000000009,-0.39067479680550155
0.8119999999999941,-0.8287423368119123
1.0370000000000026,-0.29215292464214665
1.2481818181818163,0.12874844096656168
1.557272727272732,-0.04021596039764508
1.990000000000002,-0.28444877768787014
2.2427272727272722,-0.3724367285998701
2.43272727272727,-0.34559747247738676
2.6845454545454572,-0.08322704182452026
2.6409090909090907,-0.03360014011476639
2.637999999999998,-0.28307419011425605
2.389000000000003,0.24207471974749561
1.7349999999999994,0.07799592495883245
1.0119999999999933,0.19008235098188508
0.4170000000000016,0.39467380692535853
0.03818181818181898,0.23482759700370248
-0.3727272727272677,0.13381081310015186
-0.519999999999996,0.34112206489483543
-0.5472727272727269,0.1834702092545607
-0.6672727272727279,-0.08045051515761074
-0.7954545454545432,-0.16146007240724772
-0.5190909090909095,-0.1547753649845017
